#ID,NAME,LIVELOC,JOB,WORKLOC,STATE
0, Wheet, 0, 4, 29, 0
1, Tighwhow, 1, 4, 27, 0
2, Routeak, 2, 4, 26, 0
3, Gigh, 3, 2, 16, 0
4, Sick, 4, 2, 17, 0
5, Queejaie, 5, 4, 25, 0
6, Cheak, 6, 4, 29, 0
7, Ruro, 7, 4, 25, 0
8, Caue, 8, 2, 16, 0
9, Yetoch, 9, 1, 0, 0
10, Bopaud, 10, 1, 0, 0
11, Wheeje, 11, 2, 15, 0
12, Geabor, 12, 2, 24, 0
13, Nau, 13, 1, 0, 0
14, Hahouk, 14, 2, 17, 0
15, Rou, 15, 1, 0, 0
16, Doiged, 16, 1, 0, 0
17, Kefang, 17, 1, 0, 0
18, Hock, 18, 4, 29, 0
19, Kow, 19, 2, 21, 0
20, Duifighsh, 20, 1, 0, 0
21, Yoock, 21, 2, 21, 0
22, Kar, 22, 3, 12, 0
23, Yocoi, 23, 4, 25, 0
24, Teacew, 24, 1, 0, 0
25, Bau, 25, 1, 0, 0
26, Fo, 26, 1, 0, 0
27, Quuck, 27, 2, 21, 0
28, Houchoy, 28, 4, 27, 0
29, Yath, 29, 4, 28, 0
30, Lir, 30, 4, 27, 0
31, Yohee, 31, 1, 0, 0
32, Soish, 32, 2, 17, 0
33, Noo, 33, 1, 0, 0
34, Gouth, 34, 3, 13, 0
35, Tighd, 35, 2, 20, 0
36, Teecar, 36, 2, 18, 0
37, Jauwea, 37, 1, 0, 0
38, Doo, 38, 1, 0, 0
39, Gu, 39, 1, 0, 0
40, Nighe, 40, 3, 29, 0
41, Fojor, 41, 4, 27, 0
42, Gock, 42, 2, 19, 0
43, Sad, 43, 4, 29, 0
44, Nui, 44, 3, 1, 0
45, Yang, 45, 1, 0, 0
46, Ror, 46, 4, 27, 0
47, No, 47, 4, 25, 0
48, Whigh, 48, 1, 0, 0
49, Kealeed, 49, 2, 16, 0
50, Chaicho, 50, 1, 0, 0
51, Sedey, 51, 4, 26, 0
52, Reck, 52, 2, 22, 0
53, Jick, 53, 4, 28, 0
54, Whouboach, 54, 1, 0, 0
55, Foanigh, 55, 3, 22, 0
56, Bang, 56, 2, 21, 0
57, Re, 57, 1, 0, 0
58, Goolood, 58, 2, 17, 0
59, Foofong, 59, 1, 0, 0
60, Yooboy, 60, 1, 0, 0
61, Pue, 61, 2, 16, 0
62, Fang, 62, 2, 18, 0
63, Wicing, 63, 4, 26, 0
64, Song, 64, 2, 17, 0
65, Joosighth, 65, 4, 26, 0
66, Loyouk, 66, 2, 24, 0
67, Moaseae, 67, 1, 0, 0
68, Maw, 68, 2, 15, 0
69, Tikung, 69, 1, 0, 0
70, Feegey, 70, 1, 0, 0
71, Fighth, 71, 2, 18, 0
72, Neechur, 72, 4, 27, 0
73, Teck, 73, 2, 22, 0
74, Mood, 74, 2, 15, 0
75, Wout, 75, 2, 22, 0
76, Chigh, 76, 2, 15, 0
77, Boosir, 77, 1, 0, 0
78, Ded, 78, 2, 15, 0
79, Tuifib, 79, 2, 17, 0
80, Pouk, 80, 2, 16, 0
81, Waush, 81, 2, 22, 0
82, Chir, 82, 2, 24, 0
83, Hedey, 83, 1, 0, 0
84, Ked, 84, 2, 20, 0
85, Soosh, 85, 2, 17, 0
86, Nireek, 86, 1, 0, 0
87, Cechow, 87, 1, 0, 0
88, Dighd, 88, 3, 13, 0
89, Ney, 89, 2, 24, 0
90, Toiju, 90, 1, 0, 0
91, Tut, 91, 2, 20, 0
92, Wang, 92, 4, 27, 0
93, Rouwigh, 93, 4, 29, 0
94, Pooe, 94, 4, 28, 0
95, Cow, 95, 2, 16, 0
96, Waiquar, 96, 3, 7, 0
97, Push, 97, 2, 23, 0
98, Cejoi, 98, 3, 0, 0
99, Chochaw, 99, 1, 0, 0
100, Hoch, 100, 2, 21, 0
101, Haith, 101, 2, 22, 0
102, Yauck, 102, 2, 21, 0
103, Yeath, 103, 2, 21, 0
104, Yasow, 104, 1, 0, 0
105, Mesh, 105, 2, 22, 0
106, Ge, 106, 1, 0, 0
107, Jeek, 107, 2, 18, 0
108, Ni, 108, 4, 25, 0
109, Lawhir, 109, 2, 19, 0
110, Qua, 110, 3, 2, 0
111, Hu, 111, 4, 25, 0
112, Cauyur, 112, 2, 18, 0
113, Heng, 113, 1, 0, 0
114, Fead, 114, 3, 27, 0
115, Sey, 115, 4, 28, 0
116, Moadeak, 116, 2, 17, 0
117, Moue, 117, 2, 15, 0
118, Boidong, 118, 1, 0, 0
119, May, 119, 2, 15, 0
120, Moafoae, 120, 1, 0, 0
121, Whash, 121, 4, 28, 0
122, Ting, 122, 2, 21, 0
123, Laisoab, 123, 1, 0, 0
124, Woie, 124, 4, 28, 0
125, Jugay, 125, 4, 26, 0
126, Whaush, 126, 2, 21, 0
127, Bighbak, 127, 4, 25, 0
128, Kai, 128, 3, 23, 0
129, Paicey, 129, 1, 0, 0
130, Caujee, 130, 1, 0, 0
131, Mai, 131, 2, 15, 0
132, Cighfoid, 132, 1, 0, 0
133, Too, 133, 4, 25, 0
134, Mouck, 134, 2, 15, 0
135, Hik, 135, 2, 20, 0
136, Woath, 136, 2, 22, 0
137, Ruinaw, 137, 2, 24, 0
138, Juicong, 138, 1, 0, 0
139, Keecang, 139, 1, 0, 0
140, Quoiwow, 140, 1, 0, 0
141, Foib, 141, 2, 18, 0
142, Poach, 142, 2, 16, 0
143, Waihoab, 143, 1, 0, 0
144, Cung, 144, 3, 9, 0
145, Bir, 145, 2, 19, 0
146, Heae, 146, 2, 20, 0
147, Tir, 147, 2, 20, 0
148, Pauyosh, 148, 1, 0, 0
149, Roichighd, 149, 1, 0, 0
150, Seeth, 150, 4, 29, 0
151, Fu, 151, 1, 0, 0
152, Hee, 152, 1, 0, 0
153, Long, 153, 2, 24, 0
154, Sighpod, 154, 1, 0, 0
155, Quoo, 155, 1, 0, 0
156, Yi, 156, 1, 0, 0
157, Moufeeb, 157, 4, 26, 0
158, Roachew, 158, 1, 0, 0
159, Riloy, 159, 1, 0, 0
160, Reeneng, 160, 4, 26, 0
161, Maunooch, 161, 1, 0, 0
162, Ceet, 162, 2, 16, 0
163, Maunigh, 163, 1, 0, 0
164, Yoock, 164, 2, 21, 0
165, Ceerey, 165, 1, 0, 0
166, Juwai, 166, 2, 15, 0
167, Nung, 167, 2, 19, 0
168, Wor, 168, 4, 27, 0
169, Pigur, 169, 4, 26, 0
170, Leeder, 170, 1, 0, 0
171, Caud, 171, 3, 15, 0
172, Keejouk, 172, 2, 24, 0
173, Wit, 173, 2, 22, 0
174, Whoichay, 174, 1, 0, 0
175, Noish, 175, 2, 23, 0
176, Whor, 176, 2, 24, 0
177, Jeeleng, 177, 4, 27, 0
178, Noayir, 178, 2, 19, 0
179, Whau, 179, 1, 0, 0
180, Taich, 180, 2, 20, 0
181, Caick, 181, 2, 22, 0
182, Quighb, 182, 2, 22, 0
183, Ring, 183, 2, 19, 0
184, Quouraw, 184, 1, 0, 0
185, Saw, 185, 3, 11, 0
186, Wang, 186, 1, 0, 0
187, Caid, 187, 2, 16, 0
188, Gor, 188, 2, 19, 0
189, Tubur, 189, 1, 0, 0
190, Noufo, 190, 1, 0, 0
191, Kung, 191, 2, 21, 0
192, Gey, 192, 3, 12, 0
193, Coach, 193, 2, 16, 0
194, Quong, 194, 3, 12, 0
195, Nou, 195, 1, 0, 0
196, Teach, 196, 2, 20, 0
197, Quiquong, 197, 4, 26, 0
198, Toajuch, 198, 2, 17, 0
199, Norar, 199, 3, 6, 0
200, Yoaway, 200, 4, 26, 0
201, Pie, 201, 2, 16, 0
202, Quoocar, 202, 4, 26, 0
203, De, 203, 1, 0, 0
204, Chigh, 204, 2, 15, 0
205, Chow, 205, 3, 9, 0
206, Roarow, 206, 1, 0, 0
207, Huimouck, 207, 1, 0, 0
208, Tuya, 208, 4, 25, 0
209, Geemoack, 209, 2, 17, 0
210, Moid, 210, 4, 29, 0
211, Quoo, 211, 1, 0, 0
212, Feek, 212, 2, 18, 0
213, Char, 213, 2, 24, 0
214, Lor, 214, 4, 27, 0
215, Dauchoa, 215, 2, 24, 0
216, Jeequaub, 216, 4, 25, 0
217, Quue, 217, 2, 23, 0
218, Maumur, 218, 1, 0, 0
219, Der, 219, 4, 28, 0
220, Pow, 220, 2, 19, 0
221, Per, 221, 2, 16, 0
222, Paiquoat, 222, 1, 0, 0
223, Pou, 223, 1, 0, 0
224, Quoack, 224, 2, 23, 0
225, Hing, 225, 2, 20, 0
226, Feequong, 226, 4, 26, 0
227, Baiyi, 227, 4, 25, 0
228, Yoibaie, 228, 3, 5, 0
229, Laupeeth, 229, 1, 0, 0
230, Moa, 230, 1, 0, 0
231, Yirur, 231, 1, 0, 0
232, Nuikaush, 232, 1, 0, 0
233, Nemoish, 233, 1, 0, 0
234, Moish, 234, 4, 28, 0
235, Ped, 235, 4, 29, 0
236, Rith, 236, 2, 22, 0
237, Hee, 237, 4, 25, 0
238, Joith, 238, 2, 18, 0
239, Foid, 239, 3, 14, 0
240, Maish, 240, 2, 15, 0
241, Bang, 241, 4, 27, 0
242, Neejer, 242, 1, 0, 0
243, Ceahaick, 243, 1, 0, 0
244, Chauwur, 244, 1, 0, 0
245, Righkoth, 245, 4, 29, 0
246, Fi, 246, 4, 25, 0
247, Say, 247, 4, 28, 0
248, Bighboa, 248, 1, 0, 0
249, Sai, 249, 1, 0, 0
250, Jeefey, 250, 4, 26, 0
251, Quash, 251, 2, 23, 0
252, Whaith, 252, 2, 24, 0
253, Ya, 253, 1, 0, 0
254, Haub, 254, 3, 15, 0
255, Peeck, 255, 2, 22, 0
256, Saik, 256, 4, 29, 0
257, Feeled, 257, 1, 0, 0
258, Quohing, 258, 1, 0, 0
259, Wed, 259, 2, 22, 0
260, Jeecoud, 260, 1, 0, 0
261, Por, 261, 4, 28, 0
262, Whoush, 262, 2, 24, 0
263, Cagur, 263, 1, 0, 0
264, Dit, 264, 2, 15, 0
265, Fang, 265, 2, 18, 0
266, Lir, 266, 3, 24, 0
267, Jo, 267, 3, 20, 0
268, Reeleee, 268, 4, 26, 0
269, Wheak, 269, 2, 24, 0
270, Soue, 270, 2, 17, 0
271, Boy, 271, 2, 19, 0
272, Guiraw, 272, 2, 18, 0
273, Jeewer, 273, 1, 0, 0
274, Moarir, 274, 1, 0, 0
275, Mor, 275, 2, 15, 0
276, Tighcai, 276, 4, 29, 0
277, Moosh, 277, 2, 15, 0
278, Chaud, 278, 2, 24, 0
279, Buik, 279, 3, 13, 0
280, Nek, 280, 2, 23, 0
281, Wong, 281, 2, 22, 0
282, Sar, 282, 2, 17, 0
283, Whook, 283, 2, 24, 0
284, Bung, 284, 4, 29, 0
285, Moidoy, 285, 4, 26, 0
286, Goika, 286, 1, 0, 0
287, Hoosh, 287, 2, 22, 0
288, Quaijoick, 288, 1, 0, 0
289, Jai, 289, 1, 0, 0
290, Wey, 290, 1, 0, 0
291, Hey, 291, 4, 29, 0
292, Rea, 292, 1, 0, 0
293, Jeath, 293, 2, 18, 0
294, Hoofoue, 294, 1, 0, 0
295, Yuck, 295, 2, 21, 0
296, Quar, 296, 2, 23, 0
297, Roob, 297, 4, 29, 0
298, Nudaib, 298, 1, 0, 0
299, Koiquar, 299, 1, 0, 0
300, Row, 300, 1, 0, 0
301, Sang, 301, 2, 17, 0
302, Foosoib, 302, 1, 0, 0
303, Peack, 303, 2, 16, 0
304, Whoi, 304, 4, 25, 0
305, Kighraid, 305, 1, 0, 0
306, Di, 306, 4, 29, 0
307, Quoad, 307, 4, 28, 0
308, Soawui, 308, 3, 0, 0
309, Gighbor, 309, 4, 27, 0
310, Bokang, 310, 4, 27, 0
311, Feng, 311, 2, 18, 0
312, Ge, 312, 3, 1, 0
313, Quauchesh, 313, 3, 5, 0
314, Boock, 314, 2, 19, 0
315, Quoi, 315, 1, 0, 0
316, Bay, 316, 2, 19, 0
317, Behot, 317, 1, 0, 0
318, Quung, 318, 4, 28, 0
319, Deajed, 319, 1, 0, 0
320, Fuwed, 320, 2, 24, 0
321, Ticung, 321, 1, 0, 0
322, Moo, 322, 2, 15, 0
323, Reat, 323, 2, 22, 0
324, Rasung, 324, 1, 0, 0
325, Joi, 325, 1, 0, 0
326, Su, 326, 2, 16, 0
327, Quineed, 327, 1, 0, 0
328, Bighsich, 328, 1, 0, 0
329, Yob, 329, 2, 21, 0
330, Dighhighck, 330, 1, 0, 0
331, Booch, 331, 2, 19, 0
332, Wang, 332, 2, 19, 0
333, Wing, 333, 4, 27, 0
334, Quuijeng, 334, 1, 0, 0
335, Whelew, 335, 1, 0, 0
336, Wow, 336, 1, 0, 0
337, Both, 337, 4, 28, 0
338, Kouwot, 338, 4, 26, 0
339, Huyosh, 339, 1, 0, 0
340, Koo, 340, 1, 0, 0
341, Choa, 341, 1, 0, 0
342, Foujeesh, 342, 4, 26, 0
343, Jafeeck, 343, 1, 0, 0
344, Mid, 344, 2, 15, 0
345, Luibaush, 345, 4, 25, 0
346, Migh, 346, 1, 0, 0
347, Koofeng, 347, 1, 0, 0
348, Ley, 348, 2, 21, 0
349, Wi, 349, 1, 0, 0
350, Kaujeesh, 350, 1, 0, 0
